Service Description,Service Classification
ParcelStream is a nationwide parcel boundary solution that bundles access to parcel boundary data with mapping display technologies. ParcelStream provides a turn-key solution for integrating parcel boundaries into mapping applications.,Mapping
"From the website: View and Modify your data in Simple Sales Tracking, from another website or application. There are a lot of possibilities. Here are a few ideas:Synchronize Contacts with another Contact ListBuild your own Custom ReportsAdd Notes, Tasks and Appointments RemotelyCreate a seamless link between your own applications and website with the data, features and capability of your Simple Sales Tracking account.",Financial
The CrowdSavings API gives developers access to the flash deal/daily deal site. The API features a RESTful interface and returns data in the JSON and XML formats.,eCommerce
"From the website: With E*TRADE's open XML-based Application Programming Interface, you can now use industry-leading trading applications to execute your trades directly through E*TRADEno additional software needed. The API is REST based with OAuth for authentication model.",Financial
"Checkfront is a booking service that allows businesses to manage their schedule based inventories, centralize reservations, and process payments online. It can be used to manage accommodation, events, rentals and professional service bookings.",Enterprise
"The Conduit API provides access to the Conduit app and toolbar creation platform. Use XML, HTML and JavaScript to interact with user's of the app. Provides access to RSS, gadgets and media players.",Tools
"6rounds is a flash-based social entertainment platform that combines webcam chats, interactive activities and real-time games in a fun and playful way.",Social
"The service enables payment from a user's mobile device directly to an application provider. When the user approves payment, the service accesses the credit balance stored on the device and transfers the approved amount directly to the application's designated account. It aims to streamline e-commerce and online payments without delays or costs due to intermediaries. API methods support submission and retrieval of customer information, products available for purchase, promotional contacts to generate sales, invoicing, and payment for purchases. Methods also handle account management and messaging configuration.",Payments
"Users can enhance their apps using lukup APIs for cross platform messaging, search, news feeds, contacts, location, etc. lukout is a location based search and messaging widget for mobile phones. lukup provides APIs to enable applications 'written once, to run on multiple consumer devices (mobile phones, desktops, etc)' and enable them to connect to multiple social networks (facebook, twitter, google, yahoo). Documentation is provided for a RESTful API with responses in JSON. A JavaScript API is also available.",Social
"The Kumutu API allows users to interact and sync with suppliers from your own web sites and applications. Kumutu gives adventure operators an exclusive opportunity to market, sell and distribute their activities from one central location. Kumutu provides a distribution system for adventure activity operators and activities worldwide via a Rest XML and JSON API. Operators and activities include white water rafting, rock climbing, kite surfing, scuba diving, surfing, etc.",Travel
The detectmyPhone API enables Smartphone handset detection with one line of JavaScript. You can easily redirect users to your mobile website based on the handset detected. You can also add custom javascript code which will be executed on the host page if you don't want to do a redirect.,Telephony
"Utilize this XML Web Service to return neighborhood-level data at point of entry or in batches run from user systems. CDYNE Demographics, a full-featured statistical resource, instantaneously returns enhanced neighborhood-level census data such as gender, ethnicity, type of residence, median income, median house value, or median number of vehicles as an add-on to databases, Web sites, or software applications. This service can easily be built into sales, marketing, or even collections and accounts receivable management software. CDYNE provides samples, development information, and support to aid in the implementation of Demographics. This API uses SOAP protocol and responses are formatted in XML.",Reference
"The Intel Connection Web API provides web developers with JavaScript access to information about the device's connection state. For instance, in combination with other information about the device, a web app might use connection information to request a video stream which is approprate for the device's current bandwidth capability. A web app may determine that current signal strength is not sufficient for the app to function appropriatly for the desired user experienceand may prompt the user re-orient the device or move closer to a wireless access point.",Tools
"The Intel Power Web API provides a web app with JavaScript access to information about the devices power and battery state. For instance, in combination with other information about the device, a web app might use Battery level information to determine if a will be able to complete an activitysuch as watching a lengthy movie or playing a game. The API uses JavaScripts protocol.",Tools
"Central Desktop is an online collaboration software and Sharepoint Alternative for businesses. The Central Desktop API is available to Company, Community and Enterprise Plan Subscribers Only. The API uses SOAP architecture and responses are formatted in XML. A custom WSDL is provided for the user.",Enterprise
"Using the API developers can create their own messaging applications with the language of their choice following the guidelines below. To send a message, data is posted over HTTP to SMS Everywhere Servers. SMS Everywhere lets users send text messages (SMS) to covered cell phones in the USA as well as receive replies. Users can try the API by using the demo keys. Usage of demo keys is limited to 5 messages/hour, and no more than 30 messages total. Complete documentation is not available publicly.",Messaging
"NakdReality is a new location search service which allows anyone to quickly create their own location-based or augmented-reality search, without having to hire specialist developers. We offer a point-of-interest service which is free with revenue share voucher advertising. In addition to this, it is offering two more advanced location engines: category search, and keyword search.",Tools
"Bring 3D color into your web site or blog using the ColoRotate API. Use it to display palettes of color on your site in 3D, or create complex mashups. With the ColoRotate and JavaScript, you can get color values to/from ColoRotate.",Tools
The SuperTweet.net API provides a means to take advantage of Twitter's OAuth authentication technology without the cost and complexity of OAuth in your simple tweeting applications.,Social
"Bill.com is designed to help ease the process of bill management and payments. The Bill.com API is design your functionality by building new applications like: Integrate and add new features to your accounting system, Sync information with Bill.com with your accounting package including vendors, accounts, departments, and money movements, Integrate your Accounts Receivable system with Bill.com, and Rebate processing.",Financial
"From the site: Drumbone is a RESTful JSON API over data about legislators, bills, and roll call votes. Unlike the Sunlight Labs Congress API, all data is taken from existing APIs and data sources (especially GovTrack); there is no original data here. The name Drumbone is taken from the name of an instrument created from PVC pipes whose length can be adjusted as needed to create various sounds and music. Accordingly, the purpose of Drumbone is to pipe in data from disparate sources, and redistribute it in the simplest and most flexible format possible. Drumbone is designed to serve thin clients, and applications where bandwidth is at a premium. It was originally built to serve a mobile app, the Congress Android app), and a widget service, Sunlight's Politiwidgets. The idea is to give you all the information you need to fill in a user interface in one HTTP call. It is not meant to serve as a bulk data repository. Drumbone uses GovTrack for that, and so should you. Drumbone is written in Ruby, with the Sinatra framework, and uses MongoDB for data storage. The code for this service is available on Github.",Government
"Custom Toll Free's toll free number search has the ability to return vanities using an English language dictionary and an algorithm to rank the results and return the top vanity matches. When a search term is entered, Custom Toll Free attempts to match that term with as many other words that make logical sense to create full vanities (all words as opposed to a mix of words and numbers). Studies have found that full vanities are much easier to remember and our search algorithm is designed to optimize the results based on numbers that are memorable. The tool will also search all prefixes (800, 866, 877 and 888) to determine the best match as there are few true 800 numbers currently available.",Telephony
"smsways is a Greek SMS provider and the smsways SOAP and HTTP API provide programmatic access to smsways features and services. Developers can build custom applications, tools, and services that correspond to the same services and tools available through the main smsways website.",Messaging
"Cart2Cart is an online shopping cart migration service which helps you to move from your current shopping cart to better one automatically. All the user has to do is provide information about their current shopping cart, the target shopping cart, and choose migration options and then start migration process instantly. API will be used for migration. You will be able to move the following data from Shopify: currencies manufacturers product categories products product attributes product images customers orders And the following data to Shopify: manufacturers product categories products product attributes product images. Documentation is not publicly available on the site.",eCommerce
OpenAddresses is a web portail for the management of Open Source worldwide localized postal addresses. The API uses a RESTful interface and responses are formatted as either JSON or CSV.,Mapping
"The buy.at API allows users to integrate the buy.at technology to help with accurate real-time reporting covering all the necessary areas, including sales, clicks, and affiliate performance. buy.at is an affiliate marketing service based in the UK. Functions include searching and listing products and product categories and retrieving product info. The API can use either REST or SOAP protocol and responses can be in XML, JSON or PHP.",eCommerce
"The XML-based LIBERTYData.net web service that lets developers integrate their real-time data. LIBERTYData.net is a provider of identity verification and risk management tools for banking professionals, investigators, collectors etc. Developers can use this large risk management and investigative data portal from their own apps. Documentation is not publicly available.",Security
"Telephone is a VOIP system developed by babyTEL for social networks. The Telephone API allows 3rd party developers to access Telephone's features, and enable them in to their social site. The Telephone API allows developers to create users on the Telephone system, and allow for those users, to start the eggphone and use it to make calls.",Telephony
"Web-based encoding software as a service, designed to quickly convert any video into web and mobile compatible formats. The platform can perform fast encoding and can handle unusual or corrupt files that some other services cannot handle. Developers can use the service with a REST based API, with JSON as the data structure. The API is tightly bound to the Amazon S3 service, with some of the API functions requiring an S3 bucket to save the transcoded videos.",Video
"Unlock places is a digital gazetteer service. Given a place name, it will return a geographic location and a suggested type for the place. Look up a name with a simple HTTP GET request. Get back the results in HTML, XML / KML format (for viewing in a mapping client), in GeoJSON (for use in a Javascript based web application), GeoRSS or plain-text. Searches for names can be limited to a particular space, or filtered by the type of feature.",Search
"The OpenCrypt Video Conversion API is designed to allow you to transcode/convert video you have uploaded to your server into Flash Video format suitable for displaying on your site with an embedded video player. After providing the Video Conversion API with your video file the API then provides the converted video and a thumbnail of the video for transfer back to your server for hosting, the Video Conversion API also provides metadata information such as video duration, height and width. The Video Conversion API enables users on any web server to convert videos to be including in web site content which is becoming increasingly popular for product demonstrations, social networks and other content.",Video
"PlaySpan provides monetization solutions for over 1,000 online games, virtual worlds, and social networks. The Player-to-Player Marketplace offers a secure solution for monetizing games through virtual goods sales either between gamers or between businesses and gamers. The Player2Player is a hosted web service API enables Marketplace deployment and ensures that purchased items are quickly delivered to the right player in-game. Players can choose Buy Now or Auction-based pricing. The Publisher2Player API also offers users analytics and reporting. Public documentation is not available.",Payments
"RunSaturday is a website designed to assist you in achieving your training, exercise and fitness goals, whether that be a new personal best time in a half marathon, losing some weight, or just creating a track of a wonderful walk in the mountains. You can use a wide range of GPS enabled tracking devices and phones to log your activity, and then benefit from lots of tools to analyze and share your data across your blogs, online training logs or any other websites.",Sports
"Thomson Reuters Knowledge Direct API to easily integrate content and analytics only available from Thomson Reuters with your own proprietary information to accelerate your knowledge gathering across peers, industries and markets. With it you can gain access to information ranging from equity prices to real-time news and detailed company information. Use the API to: Gather competitive intelligence on your peers and partners; Identify key events affecting company performance; Stay ahead of market trends with real-time news and comprehensive market data; Leverage charting and analytical tools to help you examine stock prices, bonds, currencies and commodities; Manage your costs by only paying for the data you need. Technical details not publicly available.",Reference
"Factery has developed FactRank technology to mine real-time feeds and web content for the purpose of providing simple, short answers to user queries. You decide the sources to use. You can search Twitter, Digg, or a standard search engine.",Search
"The Keyword Niche Finder is a tool that returns structured keyword suggestions rather than a disorganized list. Using this keyword API will allow your users to obtain similar results to the Free Keyword Tool, but with those keywords grouped, organized, and ready to implement in high-performance PPC and organic search campaigns. WordStream is a search engine marketing software company offering an integrated keyword management solution for addressing the complexities of efficiently optimizing and expanding PPC and SEO efforts involving large numbers of keywords, on an ongoing, continuous basis. The API uses RESTful protocol and responses are formatted in JSON.",Search
"SeeClickFix allows anyone to report and track non-emergency issues anywhere in the world via the internet. This empowers citizens, community groups, media organizations and governments to take care of and improve their neighborhoods. The SeeClickFIx API gives developers the power to extend SeeClickFix's core functions. SeeClickFix supports the open311 initiative. We see our API as being a superset of the Open 311 standard.",Government
"Penolo is a tool for you to create sketches and share them on Twitter. The Penolo REST API currently supports a limited number of read-only features: getting sketches by tag, by person, all sketches, or details for a specific sketch. Sketch results are paginated and returned in XML or JSON.",Social
"CycleStreets is a UK-wide cycle journey planner system, which lets you plan routes from A to B by bike. It is designed by cyclists, for cyclists, and caters for the needs of less both confident and less confident cyclists.",Sports
"The Placecast Match API is a free tool that enables location content providers and location-based application developers to refer to a location in any number of ways, and validate that those references resolve to one true location on the planet. The Placecast Match API aims to be transparent and neutral, and allows everyone to talk to everyone in the location-based (LBS) ecosystem.",Mapping
"NileGuide is a resource to research and plan your next trip. On NileGuide, travelers can discover what they ire looking for on their vacation from small hotels in Seattle or hole-in-the-wall pubs in Prague. The service can connect travelers to relevant suggestions that make for more rewarding travel experiences. NileGuide API makes most of their original travel content available to partner websites.",Travel
"Openfooty offers the latest football (soccer) videos, a community, a proprietary dreamfooty fantasy football game, user profiles, and fan traits and fan valuation leaderboards. The openfooty API makes the footytube technology platform available to developers, editors, publishers, and footy addicts who want to dig deep into the world of football (soccer). The API is offered via a RESTful protocol and returns data in JSON or PHP format.",Sports
The SFR MMS service allows sending an MMS with an attachment from your application. The attachment sent via MMS API Service is encoded in multipart format. Sending MMS from your application to mobile is currently limited to mobile SFR. The site is in French and public documentation is not available.,Messaging
"The SFR SMS API allows users to send and receive SMS. This service allows: sending SMS Text, sending SMS wap push including a url, sending SMS binary, sending SMS concatenated (over 180 characters) and the reception of SMS. The site is in French and public documentation is not available.",Messaging
"socialVideobytes looks to address the need to integrate video across a highly viral and very visible social application-based advertising network. socialVideobytes has social video distribution with over 100+ million unique users per month. Implementing the socialVideobytes offering lets App Developers cut and paste code into their Apps and, once approved, socialVideobytes immediately begins serving-up relevant video offers. These offers let users watch and share relevant video clips, recommend favorite products to friends, incentivize gamers to move the next level and more. Note: there is no public documentation for the API.",Advertising
"Using the JSON API, publishers with dynamic applications can create highly customized user experiences. Super Rewards provides a virtual currency monetization platform for social publishers and online communities. The Super Rewards platform can be deployed on any major social network, standalone website, mobile application, virtual world, or MMO to provide monetization functionality with less than an hour of deployment effort.",Financial
California State Dept of FinanceDemographic Data on California Race / Ethnic Population. Projections are available by county and year covering the years 2000-2050. Note: this data set is provided by the State of California and is API enabled via Google Fusion Tables API and Google Visulation API. For more info see: /api/google-fusion-tables,Government
"SAP StreamWork is an on-demand application that brings together people inside or outside your organization with information for fact-based decision-making and interactive business tools for collecting feedback, strategizing, and brainstorming. The SAP StreamWork Integration API is a REST based web service allowing web, desktop, and mobile applications to connect to and interact with SAP StreamWork. This web service API allows applications to do things like create new activities, invite participants, add and retrieve content. You can also monitor the progress of activities by retrieving their activities events. Being a RESTful web service, each activity or item can be manipulated by changing the verb passed through the HTTP header. For example, a [GET] request on an item can return the information about this item, whereas a [POST] will post new item. Responses are formatted in XML.",Enterprise
"Urban Airship's Push, now fully functional for the iPhone and BlackBerry platforms, lets you increase your engagement with customers, enhance your brand, and create a recurring revenue stream. Deliver sports scores, breaking news, or user-generated content like game challenges directly to users' pockets, in real time.",Messaging
"Medialytics Application Management API allows for programmatic and bulk registration of iPhone, Blackberry and Android apps into Medialets' Medialytics platform. Medialets is a creative ad network and analytics provider for native mobile applications, primarily focused on the Apple iPhone. Medialytics is a tool that enables you to gain deep insights into how your users interact with your apps. Public documentation of the API is not available on the site.",Advertising
"The Goslyudi.ru API provides several web methods to access it's ratings of russian government bloggers. Project GosLyudi was created for the promotion and standardization of blogging and participating in online social projects of public people: government officials, governors, mayors, officials, deputies, heads of state-owned companies, experts and analysts in the state and e-government. The API uses RESTful archtiecture with responses formatted in either JSON or CSV. Site and documentation is in Russian.",Government
"The Quickstart API enables the creation of Animoto video projects with content provided by partner websites and applications. With the Quickstart API, partners can send users to Animoto to create a new video, and specify images,video clips,and an audio track to be included in the new video.",Video
"The Buxter Java API allows Facebook application developers to use the Buxter transaction webservice to monetize their Facebook applications. Buxter is ClickandBuy's Facebook application. With Buxter, Facebook users can transfer money to each other, as well as purchase items in Facebook apps. Using the API, developers can securely create purchase links, query the status of transactions and cancel transactions.",Payments
"MerchantOS is a web based point of sale and inventory control system. MerchantOS is currently in development of an open API that will allow 3rd party developers to integrate their applications into MerchantOS. Customers, Inventory, and Sales will be accessible through the API. The API is expected to be available 2nd Quarter of 2010.",eCommerce
"The ActiveCampaign REST API allows developers to access and integrate the functionality of ActiveCampaign with other applications. Some example API methods include managing account connections, managing eCommerce customers, and managing eCommerce orders. ActiveCampaign is an email marketing and eCommerce sales platform.",Email
"Mood of the Nation provides insight into the various trends on their iPhone application users. There are over 20 countries represented in the data sets, and their results can be adjusted to hourly, daily, weekly, or monthly charts. The Mood of the Nation API allows developers to access these trends.",Social
"Intersect is a Google Chrome extension that lets you see users who mutually follow you and another user on Twitter. The API uses a RESTful interface and responses are formatted in JSON. The simple API is documented on a GitHub repository and it is open source (MIT license), so you could run your own version of the service.",Social
"DocVerify offers an API which enables E-Signatures and the sending, receiving, and sharing of E-Vault PDFs through your own website or applications. DocVerify allows for E-Signatures over the web or Salesforce.com and secured file storage solution that requires no additional software or hardware to buy or maintain. Users can upload documents and allow email recipients to sign electronically. The API is designed to work from any type of platform such as Microsoft .Net languages, Java, SOAP toolkits, etc. It uses the SOAP protocol and responses are formatted in XML.",Enterprise
"As a developer, you can use the SNAP API to submit a social graph to the smartRealm web service and receive scores for the individuals in the graph. The smartRealm SNAP (Social Network Authority and Prestige) is a semantic based scoring system which measures how people influence each other in their social networks. SNAP, combined with smartRealm's advanced analytics and knowledge fusion technology, enables people-centric sense-making of the fragmented social graph across different social network walled gardens and legacy systems. The current version of the API supports the following social network scores: Footprint, Authority, Hub, Resilience, Vulnerability, Sphere Of Influence and the overall SNAP score. The API uses a REST-like interface and responses are in XML/RDF format.",Social
"The Easy API is one of the fastest growing API services out there. We offer a service that allows you to use multiple API's without having to code for the specific interfaces. An example would be that we have both a Zip Code Radius location tool, and also offer SEOMoz. Instead of coding two different application methods, you just have to code one. One easy to use API that can do the work of all the others. It accepts a POST then will return well formed XML. We are going to be offering JSONP->JSON integration in 2011.",Tools
"The Guardian Politics API covers information about politicians and elections in the UK, with many details going back to 1992. It also contains limited older data, as far back as 1945. Get information on political parties, election results, candidates, and other details.",Government
"SmartTurn is an inventory management software system that increases visibility and control of all inventory management processes. SmartTurn web services provide a way to automatically share data between SmartTurn and third party applicationssuch as accounting packages, web storefronts, and legacy systemswithout having to go through the SmartTurn user interface and manually create orders or export reports. Using SmartTurn web services allows users to automatically enter, update, or cancel purchase orders and sales orders in SmartTurn, automatically enter and update item masters in SmartTurn, automatically enter and update business affiliates in SmartTurn and more. SmartTurn implements web services using SOAP and WSDL.",Enterprise
"This experimental O'Reilly Product Metadata Interface (OPMI) exposes RDF for all of O'Reilly's titles, organized by ISBN. The OPMI is a REST API and supports the following data formats: XML, RDF, FOAF, MODS, MARC.",Reference
"Speek is a free Web-based teleconferencing system that dials out to cell phones, landlines, and voice-over-Internet applications like Skype and GoogleTalk. The Speek REST API allows users to empower applications with voice conferencing technology. Responses are formatted in XML or JSON.",Telephony
"PrivatBank is the largest commercial bank in Ukraine. It offers a RESTful API that can connect any internet services, kiosks and software to their payment services and databases. SSL is supported and responses are formatted in XML. The site and documentation are in Russian.",Financial
AddToAny is a sharing tool that allows users to share and bookmark content with the a single sharing button. The API uses JavaScript protocol to allow integration into external sites.,Social
"Adeptol provides an on-demand viewer that supports more than 300 document types which includes Office documents, Open Office, PDF, Images, AutoCAD files etc. The RESTful API allows users to link documents from their website to the Adeptol server or to embed the viewer within their own websites.",Tools
BLZService is a simple German Banking Code lookup service. It uses SOAP protocol and responses are formatted in XML. The is little documentation aside from the WSDL. The main site is in German.,Financial
"Hitmeister is an online German marketplace for games, DVDs, books, CDs and electronics. The API uses RESTful calls to allow users to access information such as title, best price, best price used, best price new and save-as compared to list price. Responses are formatted in XML. The site and documentation are in German.",eCommerce
Gimahhot is an online shopping platform on which brand products from many online stores are traded like on the stock exchange. The Gimahhot API allows for the automation of merchant connections to the shopping marketplace Gimahhot. The API uses a RESTful interface and returns responses in XML format. The site and documentation are in German.,eCommerce
SMS Action allows users to automatically send and receive SMS messages from their website or internet application. The API uses both XML and SOAP protocols and responses are in XML. The site is in French. PDF documentation available.,Messaging
"Zoho Invoice provides an API using which you can integrate your data on Zoho with any of your existing applications such as invoice applications for mobiles, timesheet application, ticketing system. The Zoho Invoice API responds to REST requests in an XML format and is programming language-neutral.",Financial
IPInfoDB is a free IP address geolocation tool. This API allows developers to get current GMT offset for a specific country and region. Timezone database in SQL format associated with world countries and region with all timestamps of daylight saving time (DST). The data for each zone is from the tz database and the association of countries regions was made manually with Statoids.,Mapping
"2Checkout.com provides turnkey e-commerce solutions to thousands of business customers around the world. 2CO supports back-office functions including financial reporting, tracking, fraud prevention, affiliate tracking, customer service and sales tracking. The API provides a way to automate both account and order management processes. It uses a RESTful interface and responses can be in XML, JSON or HTML XOXO microformat.",eCommerce
"The Hathi Trust API returns bibliographic, copyright, and volume information (including permanent URLs) when queried with a variety of standard identifiers (e.g., ISBN, LCCN, OCLC, etc.). The API has controls to return brief or full bibliographic metadata, and is implemeted as a replacement for the (now deprecated) Rights API.",Reference
SpeechAPI enables web sites with speech recognition speech recognition and text to speech (TTS) capabilities. The API is free and allows you to use JavaScript to use and embed these capabilities into external applications and sites.,Tools
"SocketLabs offers a cloud-based email delivery solution. The Email On Demand API allows developers to integrate their applications with real-time data from the platform. The data that can be retrieved includes account info, a listing of email messages sent and received as well as those that have failed. It is a RESTful API and data can be returned in either XML, JSON, JSONP or CSV format.",Email
"Clear Books is an online accounting system for small businesses. Clear Books provides an API service to its users, allowing for third party communication to pass information both into and out of the system.",Financial
"WORKEtc is a hosted small business management software suite that includes an online CRM, and software for project management, billing, help desk and document management. The SOAP API allows users to enable remote webservice access in WORKetc, create a new Visual Studio project and add a web reference. Responses are formatted in XML.",Enterprise
"WBP Systems Heap is a CRM system that allows users to track their contacts, leads and clients. With the HEAP simple API users can send information or retrieve information from Heap programmatically. It uses REST and responses are formatted in XML.",Enterprise
"Tactile is a web based CRM aimed at small businesses. It allows users to track clients, manage their sales pipleline and log notes, emails, calls and notes. The Tactile API allows users to make RESTful calls to access and modify data from their Tactile account and responses are formatted in JSON.",Enterprise
"Solve360 is an on demand CRM that acts as a collaborative workspace for users to track their contacts, leads and clients. The API gives users the ability to add, edit, delete and report on data in their Solve360 accounts without having to go through the Solve360 web interface. With the API, users can integrate Solve360 with their web site and other applications and create custom reports. It uses a RESTful protocol and responses can be formatted in either XML or JSON.",Enterprise
"Kickserv is web-based software designed to help businesses through features such as scheduling, dispatching, calendaring, mobile access, QuickBooks integration, and advanced reporting. The Kickserv API is implemented via XML over HTTP in a RESTful manner.",Enterprise
Less Accounting is a web based accounting application aimed at small businesses. The Less Accounting API allows developer to interface with the software using RESTful calls. All responses are in XML format. SSL is supported and an API key is required for use.,Financial
"ProofHQ is a web based service that helps designers manage design review and approval. ProofHQ is a web application that lets users upload and share media, and provides collaborative review tools so that they can get feedback on that media. The SOAP API allows users to interface with ProofHQ and responses are formatted in XML.",Tools
"PipelineDeals is an online CRM that also tracks sales and leads. The API was designed to cover all basic aspects of PipelineDeals objects, and allows users to write custom apps. It uses REST protocol and all responses are formatted as XML.",Enterprise
"Infusionsoft is an online software program that automates marketing, sales, and customer management processes. The Infusionsoft API allows users to integrate existing tools and apps into Infusionsoft using a secure data connection. With it, users can pass data between multiple instances of Infusionsoft, query data from an outside database and pass order data into Infusionsoft from another shopping cart. The API uses XML-RPC protocol.",Enterprise
"Capsule is an online CRM used to track contacts, manage sales and projects. The API allows a user-friendly and intuitive way for developers to interface with the Capsule system. The Capsule API is implemented in a RESTful style using XML or JSON over HTTP and now offers OAuth2 authentication.",Enterprise
"EasyImg is a service for quickly creating web graphics without an editor such as Photoshop. The API uses RESTful calls and responses can be formatted as either JPG, GIF or PNG.",Tools
"Beanstalk is a hosted subversion service that allows designers and developers to store source code, track changes, and collaborate with their team. The API can be used to build tools or services around Beanstalk account information. It uses a RESTful protocol and responses are formatted in XML.",Tools
"Shiftboard offers online real-time scheduling software that integrates group communication, a worker database, web-based recruiting, and management reporting for both large and small businesses. The RESTful API gives users direct access to the underlying Shiftboard database and transaction system for enterprise-level integration, reporting, and more. Responses are formatted in JSON.",Enterprise
"VendorRisk is web-based software that lets organizations keep track of vendors, their contracts, and the services and IT assets they provide. The RESTful API allows users to integrate their VendorRisk information with another application. The API currently supports the GET method only, which means it can be used to view information in the VendorRisk site, but cannot create, update or delete information. Responses are formatted in XML.",Enterprise
"ObexCode AS is an innovative software company focusing on hosted services for mobile synchronization and backup, personal content management, data mobilization and social media integration. The ObexCode Sync API is a REST-based API to our mobile sync server that allows users to configure, synchronize and integrate devices and applications. The API can be used for content handling and synchronization for mobile devices. Create custom mobile sync solutions for SyncML and ActiveSync mobile phones, and web services such as Google and Facebook. Responses are formatted in XML.",Telephony
ScreenSteps Live gives you everything you need to create visual knowledge base. With ScreenSteps Live you will be able to start adding useful content to your knowledgebase in just a matter of minutes. You will be able to easily expand and update that content in the weeks and months ahead.,Tools
"PostageApp makes it easy design, deliver, and manage emails from web apps. Use HTML and CSS for email templates, customize and personalize email content with message variables, and learn about engagement with email analytics. The API uses a RESTful interface to send messages and responses are formatted in JSON. Developer libraries are also available for Ruby on Rails, PHP, CakePHP, CodeIgniter, and Node.JS, along with many third-party created plugins for other languages and frameworks.",Email
"The Crafty Clicks web service gives access to the Royal Mail Postal Address File (PAF)allows building a postcode lookup function. The RESTful API takes a UK post code as input and returns a list of matching addresses. Responses are in JSON(P) or XML format and a Java Script wrapper is also provided. The trial is free, but subscription is needed to use on a live system.",Reference
"Openly Local is a project to develop an open and unified way of accessing Local Government information in the UK. Openly Local uses a REST based API that allows users to access information such as a list of local authorities, list of council members and forthcoming meetings. Data can be be returned as XML, JSON or RDFa.",Government
"This is an API that accesses information from, but is not affiliated with, the Liquor Control Board of Ontario (LCBO). It is intended to provide data to mobile and web applications. The API uses RESTful protocol to allow users to get store, product, and inventory information in JSON format.",eCommerce
"The AMP Platform collects and stores item information from thousands of different web stores making that information accessible to developers. Using the platform, developers can build web applications like widgets, niche Web sites and marketplaces, and mobile apps.",eCommerce
"CoolStreaming is a service that allows users to select and aggregate television shows from around the world. CoolStreaming offers open access to key parts of the CoolStreaming TV/Video repository and user community, via an open API interface. Using the API users can integrate online TV/videos from CoolStreaming's repository into their application. The API uses a RESTful protocol and allows users to integrate TV/videos into a blog or homepage. Responses are formatted in XML.",Video
"Freerisk is a project with the goal of making freely available the data, algorithms and tools necessary to perform risk modeling. This RESTful API allows users to create risk metrics. It acts as a credit risk calculator composed of a set of web calls and responses are formatted in JSON. According to the developers, as it currently exists, the API is a prototype that's largely undocumented.",Enterprise
"Safe.mn is a URL shortening service that provides measures for security and transparency. All links are verified for viruses, malware, phishing, malicious content, session stealing, cross-site scripting attacks, etc. Any suspicious link gets flagged, and users are warned about it. The API uses a RESTful interface and responses are formatted in XML, JSON, JSONP or text.",Security
"wpSEEK is a tool for searching WordPress. This API allows users to retrieve version information, function details, Hooks, Actions, code snippets, similar functions or forum topics about a certain search term. Using RESTful calls, it returns results in JSON format.",Search
"Saasu.com is an online accounting software system. Saasu's online accounting API uses a RESTful interface to enable connections to web applications, software products, payment services and banks. Responses are in XML format.",Financial
An open source currency project with a REST API. Allows for exchanges of virtual currency between users. Responses can be formatted in either XML or JSON.,Financial
SpamID.net is an IP address geolocation database. The IP Locator API allows users to send in the IP address of an online visitor and get back their physical location. It uses a RESTful interface and responses are formatted in XML.,Mapping
"RedCritter Apps are created using Microsoft Silverlight and are hosted on the RedCritter cloud platform. Includes API for creating Outlook add-ins with Silverlight. Including SDK for Salesforce.com and Twitter integration. The RedCritter Outlook Interface lets you hook into Outlook and received events when a user selects an email, contact or appointment. You can also search the user's contacts by email address.",Tools
"The Veriplace Developer API provides access to real-time and historic user location. It is REST-based, exposing location and privacy operations as standard HTTP requests, and uses the OAuth and OpenID standards for authorization and authentication.",Telephony
"The Profiles Data API allows client applications to retrieve and update profile information for users in a Google Apps domain. Each user profile is stored in the owning user's Google Account, but it can be modified only by an administrator of the user's domain. Only available for Google Apps Premier, Education, and Partner Edition--does not work with Google Apps Standard Edition or Gmail profiles.",Email
abctext.com is a site that provides text messaging (SMS) for private individuals and businesses around the world. This online text messaging service uses a SOAP interface and returns results in XML.,Messaging
"Mood the Nation API allows clients to retrieve the raw trending data associated with the free Mood of the Nation iPhone application. The application collects mood information (physical, mental, emotional) from users and trends over day, week, month.",Social
The Hotel Shopping API delivers data describing hotel shopping results similar to those that can be obtained when shopping for hotel rates on Hotwire.com. Each result returned includes a URL that can be used to view additional details and complete a purchase on Hotwire.com. Hotwire's affiliate program offers the opportunity to earn commissions for referral traffic that results in transactions on Hotwire.com,Travel
The Rental Car Shopping API delivers data describing rental car shopping results similar to those that can be obtained when shopping for rental car rates on Hotwire.com. Each result returned includes a URL that can be used to view additional details and complete a purchase on Hotwire.com. Hotwire's affiliate program offers the opportunity to earn commissions for referral traffic that results in transactions on Hotwire.com,Travel
"The WURFL is an XML configuration file which contains information about capabilities and features of many mobile devices. WURFL Web Service provides a RESTful interface to the WURFL database. If a user is writing a web application for mobile phones and needs to know the capabilities of a specific device, they can use this service to query the exact capabilities of the device without having to build an implementation of WURFL. Responses are returned in JSON format.",Telephony
"FoolDNS is a service that provides protection from malware, phishing and tracking cookies. With this API users can integrate their system with FoolDNS. It exposes a REST interface that can be queried via HTTP calls. Responses are returned in XML, JSON, HTML and YML format.",Security
